property_type,district,land_area,num_floors,total_investment,total_revenue,gross_profit,annual_rent,roi
tower,النرجس,7133.372263137721,12,143705948.47,640933497.84,497227549.37,34183119.88,19.03
tower,حطين,3034.8690342061896,10,63613211.77,253506404.01,189893192.24,13520341.55,17.0
tower,القيروان,7856.480483334975,19,197667301.33,1063939317.95,866272016.62,56743430.29,22.97
administrative_building,الملقا,4668.4416767187,8,70994822.18,175944229.91,104949407.74,11310700.49,12.75
residential_compound,النرجس,11749.72308115914,5,102860586.38,116667700.36,13807113.99,6282106.94,4.89
residential_compound,النرجس,4670.022679800962,7,44815215.46,65749249.31,20934033.85,3540344.19,6.32
hotel,العارض,6294.693318337904,12,129994788.49,700977047.93,570982259.44,52573278.59,32.35
tower,القيروان,7408.2235872436495,14,152707515.28,732372353.7,579664838.42,39059858.86,20.46
tower,الملقا,6061.701732032194,18,164070484.0,880102263.04,716031779.04,46938787.36,22.89
residential_compound,القيروان,13080.123333741367,7,114377874.24,177693475.49,63315601.25,9568110.22,6.69
hotel,الياسمين,3054.368068068398,9,60285070.45,277385490.47,217100420.02,20803911.79,27.61
residential_compound,الياسمين,12298.590941452017,4,109243335.47,105713768.3,-3529567.17,5692279.83,4.17
hotel,القيروان,8349.320695889875,10,166225762.42,817565482.54,651339720.12,61317411.19,29.51
administrative_building,حطين,3394.7980248480344,10,59675646.34,172297881.55,112622235.21,11076292.39,14.85
tower,الملقا,6981.524580446023,10,138073303.29,550776837.6,412703534.31,29374764.67,17.02
villa,الياسمين,1984.0111457625378,3,37156190.21,91228006.9,54071816.69,3219812.01,6.93
villa,الملقا,660.8499638786853,2,12917595.42,20219200.28,7301604.86,713618.83,4.42
residential_compound,النرجس,5454.9859899804505,5,47995657.89,54164737.89,6169080.0,2916562.81,4.86
villa,حطين,1898.2978712160896,3,41037506.78,93521542.92,52484036.14,3300760.34,6.43
residential_compound,الياسمين,14337.836724926965,5,131297097.95,144863767.13,13566669.18,7800356.69,4.75
administrative_building,الياسمين,5254.9015666229525,6,69819955.58,141450389.39,71630433.81,9093239.32,10.42
residential_compound,حطين,14699.26732762117,4,150911700.37,139419610.75,-11492089.62,7507209.81,3.98
residential_compound,النرجس,10972.306917450587,7,104686915.72,154479109.09,49792193.38,8318105.87,6.36
villa,الياسمين,1697.4747303285196,2,29834985.06,50580673.02,20745687.97,1785200.22,4.79
tower,حطين,7664.934181212255,12,173926622.86,774781128.2,600854505.35,41321660.17,19.01
administrative_building,الياسمين,1958.6602867879108,8,28774186.41,71972539.17,43198352.76,4626806.09,12.86
residential_compound,حطين,8917.226761756305,7,101214662.41,140963520.65,39748858.24,7590343.42,6.0
villa,القيروان,1929.0432911364942,3,33303536.29,83156715.93,49853179.64,2934942.92,7.05
administrative_building,النرجس,2425.5067377274545,5,29121915.15,51317658.8,22195743.66,3298992.35,9.06
hotel,القيروان,5490.442989642145,10,109462745.56,537624177.55,428161431.99,40321813.32,29.47
hotel,النرجس,5787.029385459244,8,114338738.31,474999371.96,360660633.65,35624952.9,24.93
hotel,العارض,5758.802335098189,8,94779182.25,420162218.37,325383036.12,31512166.38,26.6
hotel,الملقا,9697.938216324075,10,227187795.5,1061342358.39,834154562.9,79600676.88,28.03
hotel,النرجس,7144.126653625352,11,163550411.5,817859619.31,654309207.8,61339471.45,30.0
tower,الملقا,7664.229950337339,19,214301176.19,1176291642.35,961990466.16,62735554.26,23.42
administrative_building,العارض,2988.5082849953546,9,35836926.6,103750547.88,67913621.27,6669678.08,14.89
hotel,الملقا,4061.5121667301373,9,91143566.68,398190652.83,307047086.14,29864298.96,26.21
hotel,النرجس,5126.700152435449,13,128258634.8,697641356.74,569382721.94,52323101.76,32.64
hotel,الياسمين,9520.047353828144,12,216935876.83,1166167720.65,949231843.83,87462579.05,32.25
residential_compound,العارض,14024.938263966918,7,110686014.75,180136307.06,69450292.31,9699647.3,7.01
villa,حطين,1017.2018858459126,2,20988323.28,32475187.41,11486864.13,1146183.08,4.37
tower,الملقا,3632.7177628383183,12,78671495.23,346799671.68,268128176.45,18495982.49,18.81
administrative_building,العارض,1648.8271020098327,5,15818717.42,30233718.16,14415000.74,1943596.17,9.83
residential_compound,الملقا,6984.880523539239,6,70773777.11,88260950.3,17487173.18,4752512.71,5.37
administrative_building,العارض,6513.341232974381,5,61160853.63,119431881.52,58271027.89,7677763.81,10.04
tower,العارض,2221.2378107890286,10,35240137.21,144311044.02,109070906.81,7696589.01,17.47
residential_compound,القيروان,6862.612141582806,6,57533207.79,79489636.44,21956428.64,4280211.19,5.95
tower,النرجس,2114.869634666603,18,54469057.64,288996935.58,234527877.93,15413169.9,22.64
residential_compound,النرجس,7576.930215363975,4,64368983.3,64005360.3,-363623.0,3446442.48,4.28
villa,النرجس,1315.5585520273987,3,25157505.17,59411281.99,34253776.82,2096868.78,6.67
residential_compound,الياسمين,9706.967293109126,5,89035783.52,98075314.74,9039531.23,5280978.49,4.75
villa,حطين,1369.3746000020644,2,28099042.55,43718653.48,15619610.93,1543011.3,4.39
villa,النرجس,1250.1001528091174,2,22440511.79,36584806.02,14144294.23,1291228.45,4.6
hotel,حطين,9273.436071231767,8,208916842.88,845737369.7,636820526.82,63430302.73,24.29
administrative_building,القيروان,3833.6718585258136,10,52860127.98,160235982.67,107375854.69,10300884.6,15.59
villa,النرجس,514.1816731375723,2,9494969.81,15047783.76,5552813.94,531098.25,4.47
hotel,النرجس,9637.5531250985,8,190117045.5,791050360.51,600933315.01,59328777.04,24.97
tower,الياسمين,2545.182894985361,18,65842111.53,339104261.53,273262150.01,18085560.62,21.97
residential_compound,العارض,4584.301681019091,5,32888518.69,41526438.35,8637919.65,2236038.99,5.44
tower,الياسمين,3392.8101986001466,18,87619776.03,452036825.8,364417049.77,24108630.71,22.01
administrative_building,القيروان,3224.7496113472334,6,36409182.92,77900276.36,41491093.45,5007874.91,11.0
villa,حطين,1748.3762793431424,3,37832033.23,86135505.78,48303472.55,3040076.67,6.43
administrative_building,العارض,2597.5723435322398,5,24661971.81,47630385.28,22968413.46,3061953.34,9.93
residential_compound,حطين,5741.183831077041,4,59216757.69,54453980.4,-4762777.29,2932137.41,3.96
hotel,حطين,8900.120492750797,11,228560088.23,1132095326.68,903535238.45,84907149.5,29.72
administrative_building,الملقا,4899.481139106941,10,80659405.73,234038415.05,153379009.32,15045326.68,14.92
tower,النرجس,2209.5658508847714,19,58898540.67,319171787.16,260273246.49,17022495.32,23.12
villa,حطين,1145.7843784125016,3,24948015.79,56448213.19,31500197.39,1992289.88,6.39
hotel,العارض,4830.310156765562,8,79570480.37,352419429.04,272848948.67,26431457.18,26.57
hotel,القيروان,3897.383408444827,8,69648042.42,302125161.82,232477119.41,22659387.14,26.03
tower,الملقا,4568.06370182962,17,119596521.5,625382195.98,505785674.48,33353717.12,22.31
villa,الملقا,1034.1620371997244,3,21191153.82,48826150.8,27634996.98,1723275.91,6.51
villa,الياسمين,705.7925867756811,2,12667975.47,21030925.18,8362949.71,742267.95,4.69
residential_compound,حطين,12934.783069219186,7,146613048.68,204473050.76,57860002.08,11010087.35,6.01
administrative_building,الملقا,5444.018689782435,5,72425371.1,122860613.79,50435242.69,7898182.32,8.72
tower,حطين,3953.8337858268023,14,97131120.65,469048244.3,371917123.66,25015906.36,20.6
administrative_building,العارض,6620.902811339691,5,62163435.1,121404184.4,59240749.3,7804554.71,10.04
tower,الياسمين,2746.4037471512183,18,71011978.27,365913670.25,294901691.97,19515395.75,21.99
hotel,حطين,5378.393219397314,14,155240156.85,877753773.41,722513616.55,65831533.01,33.93
tower,الملقا,6173.353474755503,12,133377733.7,589343047.81,455965314.12,31431629.22,18.85
administrative_building,الملقا,4141.40309095546,5,55203490.27,93463184.96,38259694.69,6008347.6,8.71
villa,العارض,1595.3892784236973,3,24031448.92,62223771.48,38192322.56,2196133.11,7.31
administrative_building,الياسمين,1662.5905114349357,9,25540153.41,69263188.19,43723034.78,4452633.53,13.95
villa,العارض,1436.6086855868862,3,21684512.98,56030971.11,34346458.13,1977563.69,7.3
administrative_building,الياسمين,2752.16693821654,6,36781355.75,74082279.21,37300923.46,4762432.23,10.36
villa,الملقا,523.8311338364877,3,10955957.22,24731770.28,13775813.06,872886.01,6.37
residential_compound,العارض,14565.75514210851,4,99438871.95,112249535.43,12810663.48,6044205.75,4.86
administrative_building,حطين,6863.782915251857,7,107223007.03,238094333.66,130871326.63,15306064.31,11.42
tower,حطين,2317.415814133,13,55007761.8,254582611.03,199574849.23,13577739.26,19.75
villa,النرجس,1009.0481149523539,3,19400932.65,45569117.4,26168184.75,1608321.79,6.63
villa,حطين,587.5301657568139,3,13011982.47,28945261.15,15933278.67,1021597.45,6.28
tower,النرجس,6255.197274594103,11,120377769.75,513238936.38,392861166.63,27372743.27,18.19
administrative_building,القيروان,2524.0648424623964,9,33366329.61,94367212.27,61000882.65,6066463.65,14.55
administrative_building,الملقا,2174.8661152324207,11,37424898.83,114850329.81,77425430.99,7383235.49,15.78
administrative_building,حطين,3688.975975141539,8,60159765.13,147719509.46,87559744.33,9496254.18,12.63
tower,الياسمين,6056.117446341714,17,150535730.61,760822464.64,610286734.02,40577198.11,21.56
hotel,النرجس,9486.966405866462,13,236960072.5,1290986388.51,1054026316.01,96823979.14,32.69
villa,الياسمين,968.9928681581719,2,17224235.54,28873661.89,11649426.35,1019070.42,4.73
administrative_building,حطين,5580.034873640292,7,87253022.49,193563039.71,106310017.22,12443338.27,11.41
tower,العارض,6638.266377814038,14,128585136.76,612504540.85,483919404.09,32666908.85,20.32
hotel,العارض,7726.1853497776,11,151342399.88,786216621.19,634874221.31,58966246.59,31.17
hotel,العارض,3499.9784891267764,12,72479557.31,389757604.55,317278047.24,29231820.34,32.26
villa,حطين,1502.1771805351163,2,30780459.45,47958508.67,17178049.21,1692653.25,4.4
villa,الياسمين,624.0744626668157,3,11996001.63,28695942.31,16699940.68,1012797.96,6.75
hotel,العارض,4212.553125167283,9,73874800.97,347788386.01,273913585.04,26084128.95,28.25
villa,حطين,1024.9285864549372,2,21144333.09,32721870.05,11577536.96,1154889.53,4.37
tower,الملقا,5798.483607009672,17,151688948.68,793830526.06,642141577.38,42337628.06,22.33
residential_compound,الملقا,5602.9134342674915,7,59056474.52,83035177.1,23978702.57,4471124.92,6.06
tower,حطين,7511.508470924479,10,156783270.05,627445691.96,470662421.91,33463770.24,17.08
residential_compound,الملقا,13893.145805356933,7,145772305.12,205896420.84,60124115.71,11086730.35,6.08
villa,حطين,894.5128157406735,2,18511108.26,28558216.16,10047107.89,1007937.04,4.36
tower,العارض,2000.0363898917053,18,46335834.88,239141851.09,192806016.22,12754232.06,22.02
villa,القيروان,1155.483481655001,2,18754013.83,32278719.93,13524706.1,1139248.94,4.86
villa,العارض,850.277798973122,3,13017956.15,33162747.28,20144791.14,1170449.9,7.19
hotel,الياسمين,9428.743293267999,12,214859622.49,1154983338.45,940123715.96,86623750.38,32.25
tower,النرجس,2425.419183857404,15,55779875.13,274678722.57,218898847.44,14649531.87,21.01
hotel,النرجس,7313.297849201958,12,175091552.64,916209954.55,741118401.91,68715746.59,31.4
hotel,الملقا,6452.293753644418,14,178404261.73,1000363623.57,821959361.84,75027271.77,33.64
residential_compound,النرجس,12587.871398994215,5,110165887.11,124990010.27,14824123.16,6730231.32,4.89
tower,النرجس,2935.701938033482,13,62077722.93,286671294.25,224593571.31,15289135.69,19.7
residential_compound,العارض,13557.026111425683,6,101693871.0,148465704.35,46771833.35,7994307.16,6.29
administrative_building,النرجس,2702.7530593789434,7,35804712.77,82724514.26,46919801.5,5318004.49,11.88
administrative_building,العارض,4892.255964005732,11,64543445.38,209909580.52,145366135.14,13494187.32,16.73
villa,العارض,1427.7772948460579,2,19854921.21,36086714.18,16231792.97,1273648.74,5.13
villa,العارض,1333.289679830208,3,20157354.76,52001297.42,31843942.66,1835339.91,7.28
administrative_building,الياسمين,2787.7807125554455,11,46033002.43,143536695.77,97503693.34,9227359.01,16.04
administrative_building,حطين,2145.9235305683696,9,36535850.09,97421709.4,60885859.31,6262824.18,13.71
villa,النرجس,766.0108249053909,3,14836449.3,34593431.86,19756982.56,1220944.65,6.58
residential_compound,العارض,9810.802510014146,7,77562907.73,126009947.44,48447039.71,6785151.02,7.0
tower,الياسمين,4409.1573834548235,10,81633610.32,319195437.33,237561827.01,17023756.66,16.68
residential_compound,الياسمين,8028.574783349546,6,76865974.79,98067435.26,21201460.48,5280554.21,5.5
tower,النرجس,5236.208172722696,16,124665948.38,633842999.31,509177050.93,33804959.96,21.69
administrative_building,القيروان,6828.142954331145,6,76590622.08,164947449.35,88356827.26,10603764.6,11.08
administrative_building,القيروان,1606.2247390821688,6,18361012.07,38801571.02,20440558.96,2494386.71,10.87
administrative_building,الياسمين,4625.0418755441715,7,64418954.18,147223407.97,82804453.79,9464361.94,11.75
administrative_building,الملقا,4102.892607982714,7,59863987.86,133951237.87,74087250.01,8611151.01,11.51
administrative_building,حطين,2754.2070318148444,10,48499895.88,139785646.59,91285750.71,8986220.14,14.82
hotel,الياسمين,8281.301087587475,11,180071420.59,926975718.54,746904297.95,69523178.89,30.89
villa,الملقا,1929.8962939070984,2,36859423.48,59046624.53,22187201.05,2083998.51,4.52
administrative_building,النرجس,6061.246541546674,7,79737166.01,185519603.52,105782437.51,11926260.23,11.97
administrative_building,القيروان,3053.5901721059763,8,38348107.63,100698243.11,62350135.48,6473458.49,13.5
villa,العارض,658.8099225552904,2,9403885.66,16651256.09,7247370.43,587691.39,5.0
tower,حطين,6290.9181822334,10,131379734.67,525488259.41,394108524.74,28026040.5,17.07
hotel,حطين,7398.690329506634,12,197847057.99,1029897693.87,832050635.88,77242327.04,31.23
residential_compound,الملقا,5075.716758943711,4,48141434.67,45133273.42,-3008161.25,2430253.18,4.04
hotel,الياسمين,9211.783152548694,14,229270693.51,1322959449.24,1093688755.73,99221958.69,34.62
administrative_building,الياسمين,4536.980918590167,5,57484387.13,99830820.74,42346433.61,6417695.62,8.93
hotel,النرجس,9953.571175846942,14,259043779.15,1461980534.31,1202936755.16,109648540.07,33.86
tower,العارض,6114.769900275826,14,118480346.0,564202175.24,445721829.24,30090782.68,20.32
tower,الياسمين,6814.757712965279,15,156933873.98,752477028.22,595543154.23,40132108.17,20.46
residential_compound,الياسمين,4866.286363329398,7,48674897.86,69714418.44,21039520.58,3753853.3,6.17
administrative_building,الياسمين,4517.704435741498,7,62934370.05,143806664.06,80872294.01,9244714.12,11.75
hotel,الملقا,3678.992422751368,13,98053668.98,528450471.6,430396802.63,39633785.37,32.34
villa,القيروان,848.3997356277956,3,14899095.9,36572603.7,21673507.81,1290797.78,6.93
administrative_building,حطين,3175.0778276172323,9,53842108.75,144143770.76,90301662.01,9266385.26,13.77
tower,القيروان,3110.6508034043527,10,53058881.71,216530458.27,163471576.56,11548291.11,17.41
tower,النرجس,4338.0246878826965,10,79673175.86,322098333.08,242425157.21,17178577.76,17.25
tower,الياسمين,5619.168565465365,12,114139828.0,492260238.22,378120410.22,26253879.37,18.4
hotel,الملقا,7178.969023229725,10,168294295.76,785666369.9,617372074.14,58924977.74,28.01
tower,حطين,2706.834051509841,14,66638859.64,321115107.07,254476247.43,17126139.04,20.56
tower,العارض,3706.3925423364117,19,88856728.12,468464852.4,379608124.28,24984792.13,22.49
residential_compound,النرجس,6706.587595979045,5,58904617.49,66592390.88,7687773.39,3585744.12,4.87
tower,الياسمين,3256.1415617932216,12,66329884.15,285250211.34,218920327.19,15213344.61,18.35
tower,حطين,4500.2424585672525,15,114587399.36,573359015.74,458771616.38,30579147.51,21.35
residential_compound,النرجس,8361.799915395926,7,79887099.2,117725781.01,37838681.81,6339080.52,6.35
villa,حطين,1263.3998004495827,3,27462751.13,62242654.57,34779903.44,2196799.57,6.4
administrative_building,العارض,1957.9040379942066,5,18699623.54,35901107.39,17201483.85,2307928.33,9.87
tower,الملقا,4246.322849897251,18,115068869.53,616526268.53,501457399.0,32881400.99,22.86
tower,النرجس,5200.017980649285,13,109611377.46,507781755.81,398170378.35,27081693.64,19.77
residential_compound,القيروان,7000.856279891774,7,61427458.2,95106632.56,33679174.36,5121126.37,6.67
residential_compound,العارض,7915.184731552816,5,56457847.16,71698909.37,15241062.21,3860710.5,5.47
hotel,الملقا,6347.165489734144,14,175504824.21,984064537.53,808559713.32,73804840.31,33.64
villa,القيروان,1571.8447193661552,2,25349592.2,43909875.2,18560283.0,1549760.3,4.89
residential_compound,العارض,11958.700030999937,7,94445382.24,153597543.2,59152160.95,8270636.94,7.01
residential_compound,النرجس,5648.871602028122,5,49685564.88,56089905.69,6404340.8,3020225.69,4.86
tower,النرجس,7283.694333854555,10,133468467.77,540814304.29,407345836.52,28843429.56,17.29
villa,الياسمين,1171.1122252322784,2,20723123.73,34896333.64,14173209.91,1231635.31,4.75
residential_compound,النرجس,12516.863190075996,5,109546979.56,124284941.36,14737961.79,6692266.07,4.89
residential_compound,الملقا,11981.395734296513,5,116381985.13,125229548.21,8847563.09,6743129.52,4.64
villa,الملقا,720.6254985084905,3,14902865.0,34023071.82,19120206.82,1200814.3,6.45
tower,النرجس,4027.7598562811413,13,85002748.78,393310749.97,308308001.18,20976573.33,19.74
administrative_building,العارض,6942.546283788324,6,69535278.07,155731726.96,86196448.89,10011325.3,11.52
residential_compound,النرجس,6578.633170241301,4,55947349.42,55572345.84,-375003.58,2992357.08,4.28
hotel,الملقا,8932.844213870689,9,199920411.3,875776046.73,675855635.43,65683203.5,26.28
tower,النرجس,7479.680402230055,10,137047663.35,555366269.87,418318606.52,29619534.39,17.29
tower,القيروان,2107.9092104930537,12,39936409.29,177558414.9,137622005.62,9469782.13,18.97
villa,الياسمين,1956.1295278528075,2,34312558.26,58287965.22,23975406.96,2057222.3,4.8
tower,العارض,7527.720928914195,11,125203155.09,540443314.44,415240159.35,28823643.44,18.42
villa,حطين,1895.6217979223534,3,40980289.66,93389703.5,52409413.84,3296107.18,6.43
administrative_building,القيروان,4431.557666884993,6,49866299.54,107053138.56,57186839.02,6881987.48,11.04
villa,العارض,564.7084611356095,2,8124952.7,14272865.18,6147912.48,503748.18,4.96
tower,العارض,4833.456188035385,19,115740013.73,610918653.07,495178639.34,32582328.16,22.52
administrative_building,القيروان,3137.2531978002576,8,39386449.44,103457198.7,64070749.27,6650819.92,13.51
villa,الياسمين,1786.2208788923504,3,33496872.48,82133293.96,48636421.48,2898822.14,6.92
hotel,الياسمين,8977.352254855974,12,204594990.28,1099689741.81,895094751.54,82476730.64,32.25
hotel,حطين,5414.171497351055,13,150584975.62,818622730.4,668037754.78,61396704.78,32.62
hotel,العارض,4306.569969328397,9,75513514.57,355550416.67,280036902.1,26666281.25,28.25
administrative_building,النرجس,4112.921018462512,11,64615680.81,203620437.32,139004756.51,13089885.26,16.21
tower,الياسمين,4323.721541130086,18,111537215.7,576065634.88,464528419.19,30723500.53,22.04
villa,الياسمين,1067.9079498365654,2,18936554.52,31821093.93,12884539.41,1123097.43,4.74
tower,الملقا,5037.647567428997,15,122675924.1,606170686.2,483494762.09,32329103.26,21.08
residential_compound,القيروان,4870.130355522914,6,40959744.3,56410719.91,15450975.61,3037500.3,5.93
residential_compound,الملقا,4378.163898456941,4,41587227.99,38930633.39,-2656594.6,2096264.87,4.03
tower,العارض,4002.495421732764,19,95919522.05,505890405.71,409970883.66,26980821.64,22.5
residential_compound,حطين,5477.7011958398225,5,58053505.78,61069795.09,3016289.32,3288373.58,4.53
tower,حطين,7859.63574482657,11,171180937.47,725493501.97,554312564.5,38692986.77,18.08
hotel,القيروان,4199.162823531427,12,92642619.79,496844945.28,404202325.49,37263370.9,32.18
tower,القيروان,7545.366905182657,14,155526153.32,745930256.39,590404103.07,39782947.01,20.46
residential_compound,النرجس,11888.168638029325,6,108727439.96,142707953.96,33980514.01,7684274.44,5.65
villa,القيروان,1976.4826482345961,3,34111475.98,85201719.88,51090243.9,3007119.53,7.05
tower,العارض,2852.4337357217564,13,52913387.48,243722635.01,190809247.52,12998540.53,19.65
administrative_building,العارض,4269.49842202396,11,56384698.83,183189234.04,126804535.22,11776450.76,16.71
administrative_building,القيروان,6441.113594651967,8,80390660.82,212408603.01,132017942.19,13654838.76,13.59
residential_compound,النرجس,8025.667462889751,7,76693840.9,112993372.21,36299531.31,6084258.5,6.35
administrative_building,العارض,2657.3860226326597,6,26893648.31,59609154.57,32715506.26,3832017.08,11.4
residential_compound,حطين,4840.102893500124,7,55143162.7,76512346.54,21369183.84,4119895.58,5.98
villa,القيروان,1019.8772813080162,2,16605876.01,28490526.82,11884650.81,1005548.01,4.84
administrative_building,العارض,5292.497741081941,8,59784192.18,162064219.58,102280027.4,10418414.12,13.94
administrative_building,حطين,2897.338962247386,11,52822299.08,162565343.16,109743044.08,10450629.2,15.83
tower,الياسمين,7667.017070150345,18,197434836.07,1021505435.57,824070599.5,54480289.9,22.08
tower,العارض,6111.537854294112,10,96171961.64,397058974.97,300887013.33,21176478.67,17.62
tower,حطين,7881.537735682397,18,221862098.84,1211638648.03,989776549.19,64620727.89,23.3
administrative_building,حطين,3613.938008143291,8,58945200.6,144714726.63,85769526.03,9303089.57,12.63
villa,النرجس,761.7285057503336,2,13849566.14,22292365.59,8442799.44,786789.37,4.54
villa,الياسمين,1938.922070427847,3,36321997.22,89154739.07,52832741.85,3146637.85,6.93
